"agency_id","agency_name","contact_person","phone","email"
"A001","NDMA India","Anil Kumar","+91-11-26701700","anil.ndma@gov.in"
"A002","NDRF","Rajesh Singh","+91-11-24363260","rajesh.ndrf@gov.in"
"A003","Indian Red Cross","Priya Sharma","+91-11-23716441","priya@redcross.in"
"A004","CARE India","Meena Patel","+91-22-27568900","meena@careindia.org"
"A005","Oxfam India","Vikram Joshi","+91-11-46538000","vikram@oxfamindia.org"
"A006","UNICEF India","Sonia Gupta","+91-11-24690401","sonia@unicef.org"
"A007","ActionAid India","Kiran Reddy","+91-11-40640500","kiran@actionaid.org"
"A008","Save the Children","Arjun Mehta","+91-11-42294900","arjun@savethechildren.in"
"A009","World Vision India","Lakshmi Nair","+91-44-28340000","lakshmi@worldvision.in"
"A010","SEEDS India","Manish Kumar","+91-11-26183900","manish@seedsindia.org"
"A011","Goonj","Ravi Verma","+91-11-41401216","ravi@goonj.org"
"A012","Plan India","Neha Desai","+91-11-46558484","neha@planindia.org"
"A013","Sphere India","Sanjay Gupta","+91-11-46070373","sanjay@sphereindia.org"
"A014","Habitat for Humanity","Rita Menon","+91-22-23751700","rita@hfhi.org"
"A015","Caritas India","Father Paul","+91-11-23363390","paul@caritasindia.org"
"A016","Doctors Without Borders","Anita Bose","+91-11-40502900","anita@msf.org"
"A017","Rapid Response","Vivek Sharma","+91-80-41234567","vivek@rapidresponse.org"
"A018","HelpAge India","Suman Rao","+91-11-41688955","suman@helpageindia.org"
"A019","ChildFund India","Deepak Nair","+91-22-24991234","deepak@childfundindia.org"
"A020","Pradan","Leela Patel","+91-11-26518619","leela@pradan.org"
